warehouse_id,vending_machine_id,manufacturer_variant_id,sales
1,929,23639,128
1,929,15827,61
1,929,24185,11
1,929,19501,76
1,929,22124,67
1,929,23548,31
1,929,26060,44
1,929,37992,9
1,929,25609,200
1,929,16037,211
1,929,18105,135
1,929,24843,38
1,929,12327,125
1,929,43640,18
1,929,38049,82
1,929,34434,18
1,929,13813,11
1,929,46927,8
1,929,39002,11
1,929,38745,2
1,929,34006,25
1,929,13786,18
1,929,14894,85
1,929,14017,27
1,929,30820,48
1,929,30485,15
1,929,28229,17
1,929,43632,7
1,929,34697,20
1,929,46137,1
1,929,25432,24
1,929,20778,23
1,929,39001,13
1,929,15171,11
1,929,20850,7
1,929,25431,15
1,929,39159,3
1,929,19311,30
1,929,36632,35
1,929,33526,15
1,929,38746,7
1,929,33525,28
1,929,37045,2
1,929,20854,5
1,929,29908,4
1,929,13744,25
1,929,25452,33
1,929,13135,21
1,929,32597,165
1,929,18083,2
1,929,12441,6
1,929,20823,12
1,929,34397,25
1,929,31644,17
1,929,33529,13
1,929,17414,2
1,929,12356,2
1,929,32179,5
1,929,36628,3
1,929,24841,5
1,929,36639,10
1,929,36635,10
1,929,12792,12
1,2010,22556,3605
1,521,43584,2
1,2010,12327,754
1,4118,23548,28
1,2010,34351,195
1,4118,32597,31
1,2011,20848,534
1,564,46138,10
1,2011,20518,1450
1,4118,28230,6
1,2011,13258,104
1,4118,22926,20
1,2011,33768,129
1,4118,22124,4
1,2011,40715,1521
1,4118,21656,12
1,2011,47185,15
1,2025,12823,3
1,2011,46137,59
1,2034,17952,3
1,2011,27899,272
1,2034,24843,5
1,2011,13584,122
1,2034,36088,4
1,2011,46569,166
1,2037,25431,7
1,2011,33772,108
1,2037,12441,1
1,2012,12327,595
1,4900,25610,176
1,2012,15174,530
1,4900,15209,80
1,2012,23639,838
1,4900,37832,336
1,2012,39893,210
1,896,34825,5
1,2012,37995,100
1,896,31322,20
1,2020,43640,38
1,896,14693,4
1,6197,33768,9
1,898,18087,3
1,6197,26061,5
1,898,18105,13
1,6208,36628,1
1,898,32179,9
1,6213,18106,6
1,898,27815,7
1,6213,41567,3
1,898,24185,4
1,6215,13227,6
1,898,12441,16
1,6230,40665,2
1,898,13060,1
1,6230,41567,4
1,898,25609,2
1,2025,31091,1
1,898,25432,2
1,2034,12304,9
