warehouse_id,vending_machine_id,sku_group_id,extra,remove,expiry
2,1230,487,0,4,0
2,4622,487,0,0,0
2,4940,487,0,0,0
2,3296,487,0,0,8
2,2286,487,0,0,7
2,834,487,0,0,0
2,1230,496,0,0,7
2,1840,496,0,1,3
2,4940,496,0,0,0
2,4051,496,0,0,4
2,3447,496,0,0,1
2,2287,496,0,0,1
2,2031,496,0,0,2
2,1960,496,0,0,0
2,2286,496,0,0,0
2,1841,496,0,0,5
2,3296,496,0,0,2
2,5224,496,0,0,0
2,4776,496,0,0,0
2,4622,496,0,0,1
2,4510,496,0,1,1
2,5163,496,0,0,0
2,5315,496,0,0,0
2,1073,496,0,0,1
4,5457,539,0,10,0
1,2011,582,0,6,0
1,2012,582,0,0,0
1,1830,582,0,0,0
1,2008,582,0,6,0
1,2010,582,0,0,0
1,2009,582,0,7,0
1,5179,760,0,8,0
1,3652,1016,0,12,0
4,4959,1018,0,6,0
4,4723,1018,0,1,0
3,3810,1022,0,1,0
3,3341,1022,0,0,0
3,3811,1022,0,0,0
3,4564,1022,0,0,0
1,3652,1025,0,6,0
1,3651,1025,0,6,0
1,2342,1025,0,2,0
1,5179,1263,0,0,0
1,1,1347,0,0,0
1,2575,1470,0,1,0
6,5419,1591,0,0,0
6,5481,1591,0,6,0
6,6115,1591,0,4,0
6,943,1591,0,0,0
6,4001,1591,0,10,0
6,5716,1591,0,1,0
6,603,1591,0,7,0
6,4710,1591,0,8,0
6,606,1591,0,2,0
6,4270,1591,0,4,0
6,626,1591,0,2,0
6,6324,1591,0,0,0
6,620,1591,0,2,0
6,591,1591,0,0,0
6,596,1591,0,14,0
6,1066,1591,0,1,0
6,4273,1591,0,13,0
6,638,1591,0,4,0
6,593,1591,0,1,0
6,610,1591,0,0,0
6,2549,1591,0,2,0
6,653,1591,0,1,1
6,594,1591,0,4,0
6,604,1591,1,9,6
6,4000,1591,0,0,0
6,4620,1591,0,7,0
6,622,1591,0,3,0
6,5480,1591,0,3,0
6,5719,1591,0,2,0
6,581,1591,0,21,0
6,618,1591,0,12,0
6,672,1591,0,0,0
6,635,1591,0,20,0
6,668,1591,0,2,0
6,630,1591,0,4,0
6,942,1591,0,0,0
6,607,1591,0,47,0
6,634,1591,0,29,1
6,583,1591,0,9,0
6,569,1591,0,3,1
6,4274,1591,0,11,0
6,665,1591,1,19,0
6,628,1591,0,1,0
6,5479,1591,0,3,0
6,617,1591,0,27,20
6,5206,1591,0,3,0
6,648,1591,0,19,0
6,632,1591,1,16,1
6,2546,1591,0,0,0
6,1628,1591,0,6,0
6,2542,1591,0,2,0
6,637,1591,0,1,0
6,1892,1591,0,1,0
6,1476,1591,0,9,0
6,608,1591,0,2,0
6,2168,1591,1,24,0
6,639,1591,0,12,0
6,5718,1591,0,0,0
6,948,1591,0,2,0
6,2243,1591,0,0,0
6,946,1591,0,20,0
6,945,1591,1,8,1
6,605,1591,0,0,0
6,597,1591,0,1,0
6,611,1591,0,1,0
6,645,1591,0,6,0
6,5483,1591,0,3,0
6,650,1591,0,0,0
6,592,1591,0,3,0
6,576,1591,0,0,0
6,2545,1591,0,26,0
6,601,1591,0,14,0
6,573,1591,0,2,0
6,570,1591,0,9,0
6,614,1591,0,3,0
6,588,1591,0,3,0
6,577,1591,1,18,4
6,609,1591,0,4,0
6,1814,1591,0,0,0
6,673,1591,0,2,0
6,944,1591,1,21,0
6,664,1591,0,22,0
6,5717,1591,0,1,0
6,599,1591,0,2,0
6,621,1591,0,5,0
6,4003,1591,0,9,0
6,879,1591,0,3,0
6,4272,1591,0,8,0
6,674,1591,0,8,0
6,571,1591,2,7,0
6,4538,1591,0,3,0
6,5549,1591,0,32,0
6,4614,1591,0,33,1
6,669,1591,0,0,0
6,663,1591,0,0,0
6,580,1591,0,5,0
6,598,1591,0,38,1
6,602,1591,0,13,0
6,4539,1591,0,18,0
6,2242,1591,47,65,0
1,3237,1591,1,10,0
6,642,1591,0,3,0
6,5482,1591,0,0,0
6,647,1591,0,7,0
6,460,1591,0,1,0
6,2543,1591,0,2,0
6,2942,1591,0,0,0
6,4849,1591,0,21,0
6,567,1591,0,0,0
6,633,1591,3,9,0
6,644,1591,0,12,0
6,4275,1591,0,13,0
6,1447,1591,0,7,1
6,4621,1591,0,4,0
6,579,1591,0,2,0
6,651,1591,0,5,0
6,666,1591,0,0,0
6,4088,1591,0,10,0
6,646,1591,0,5,0
6,615,1591,0,19,0
6,4280,1591,0,6,0
