mvid,mrp,offer_price,zoho_id,vendor_price,variant_id,variant_name,product_id,product_name,brand_id,brand_name
"30,180",50,50,201333000039527072,25.71,8472,Alo Frut 3rd Degree Energy Drink Rs 50,"6,010",Alo Frut 3rd Degree Energy Drink Rs 50,"1,795",Alo Frut
"30,181",50,50,201333000039530001,25.71,3350,Alo Frut Mint Mojito Rs 50,"1,857",Alo Frut Mint Mojito Rs 50 ,"1,795",Alo Frut
"30,185",30,30,201333000039515147,17.8,9652,BRB Shortcuts Classic Wafer Bites ,"7,172",BRB Shortcuts Classic Wafer Bites Rs 30,20,BRB
"30,186",30,30,201333000039528072,17.8,9651,BRB Shortcuts Chocolate Wafer Bites Rs 30,"7,171",BRB Shortcuts Chocolate Wafer Bites Rs 30,20,BRB
"30,187",30,30,201333000039531001,17.8,9652,BRB Shortcuts Classic Wafer Bites ,"7,172",BRB Shortcuts Classic Wafer Bites Rs 30,20,BRB
"30,188",30,30,201333000039526143,17.8,9651,BRB Shortcuts Chocolate Wafer Bites Rs 30,"7,171",BRB Shortcuts Chocolate Wafer Bites Rs 30,20,BRB
"30,189",30,30,201333000039513144,17.8,9652,BRB Shortcuts Classic Wafer Bites ,"7,172",BRB Shortcuts Classic Wafer Bites Rs 30,20,BRB
"30,190",30,30,201333000039511626,17.8,9651,BRB Shortcuts Chocolate Wafer Bites Rs 30,"7,171",BRB Shortcuts Chocolate Wafer Bites Rs 30,20,BRB
"30,191",30,30,201333000039500287,17.8,9652,BRB Shortcuts Classic Wafer Bites ,"7,172",BRB Shortcuts Classic Wafer Bites Rs 30,20,BRB
"30,194",10,10,201333000039532001,6.25,9660,Kakaji Salted Peanut Rs 10,"7,180",Kakaji Salted Peanut Rs 10,"2,454",Kakaji
"30,195",15,15,201333000039500385,9.38,9659,Kakaji Plain Salted Chips,"7,179",Kakaji Plain Salted Chips,"2,454",Kakaji
"30,196",10,10,201333000039529009,6.25,9658,Kakaji Aloo Bhujia Rs 10,"7,178",Kakaji Aloo Bhujia,"2,454",Kakaji
"30,197",15,15,201333000039525147,9.38,9657,Kakaji Masala Munch Chips,"7,177",Kakaji Masala Munch Chips,"2,454",Kakaji
"30,198",10,10,201333000039519007,6.25,9656,Kakaji Bikaneri Bhujia Rs 10,"7,176",Kakaji Bikaneri Bhujia Rs 10,"2,454",Kakaji
"30,199",15,15,201333000039527143,9.38,9655,Kakaji Cream & Onion Chips ,"7,175",Kakaji Cream & Onion Chips,"2,454",Kakaji
"30,200",40,40,201333000039533001,25,7088,Dates Bites Sachet Rs 40,"4,712",Dates Bites Sachet 20g Rs 40,"2,056",Farmley
"30,201",45,45,201333000039519078,26.69,9577,Ritebite Max Protein Choco Delite Rs 45,"7,104",Ritebite Max Protein Choco Delite Rs 45,"1,644",Ritebite
"30,212",40,40,201333000039513335,31.78,4863,Pepsi,"2,682",Pepsi Rs 60,"1,627",Pepsi
