warehouse ID,cleaned SKU,SUM of Quantity Received
1,45610,144
1,45611,144
1,45612,144
1,45620,600
1,45621,720
1,45857,25
1,45858,25
1,45859,25
1,45860,25
1,45861,25
1,45862,25
1,45863,25
1,45864,25
1,45865,25
1,45866,25
1,45867,25
1,54321,1000
2,372,300
2,487,624
2,496,351
2,2151,26400
2,2798,800
2,3079,25440
2,4961,32880
2,12151,4080
2,15228,240
2,17315,3000
2,18570,9000
2,18571,2040
2,18580,1980
2,18977,5400
2,19098,23856
2,19506,15497
2,19507,13920
2,19544,14592
2,21347,10500
2,21356,3780
2,21358,26700
2,21359,48
2,23261,18880
2,23669,20160
2,23964,1920
2,23965,16920
2,24777,14688
2,24778,4680
2,24779,37980
2,24844,5550
2,24867,10000
2,25423,292
2,25429,3840
2,25430,8960
2,25444,1200
2,26011,11520
2,26012,6720
2,26759,1800
2,27208,740
2,27701,31410
2,27702,32550
2,27718,768
2,27733,14048
2,27734,34160
2,27735,21672
2,27801,1872
2,27802,6444
2,29637,1200
2,29639,11160
2,29640,720
2,30190,5200
2,30517,10560
2,30518,14040
2,31215,2160
2,31316,960
2,31449,167
2,31455,33
2,31456,97
2,31462,184
2,31676,2000
2,31893,6804
2,31923,42
2,32140,21900
2,32141,4320
2,32190,26010
2,32347,13960
2,32551,960
2,32552,2880
2,32998,324
2,32999,608
2,33000,392
2,33001,344
2,33002,473
2,33004,582
2,33640,2016
2,33684,240
2,33685,1920
2,33691,5
2,33692,5
2,33694,5
2,33697,4
2,33699,4
2,33700,6
2,33701,11
2,33705,2
2,33973,70
2,33974,19
2,33975,42
2,33976,75
2,33977,46
2,34137,100
2,34138,230
2,34139,190
2,34164,5
2,34165,6
2,34166,10
2,34168,11
2,34169,6
2,34170,12
2,34171,6
2,34172,1
2,34173,21
2,34174,3
2,34175,3
2,34176,6
2,34177,2
2,34203,6
2,34392,3936
2,34393,2736
2,34402,5520
2,34423,3300
2,34424,240
2,34425,240
2,34426,240
2,34427,16128
2,34605,21120
2,34698,7920
2,34829,245
2,34831,257
2,34835,224
2,34836,235
2,34837,320
2,34887,4032
2,35232,2
2,35259,3
2,35332,7720
2,35399,6000
2,35400,1000
2,36098,11520
2,36099,15500
2,36184,9840
2,36187,480
2,36304,1000
2,36373,1308
2,36397,15840
2,36411,2880
2,36412,1440
2,36413,1400
2,36414,480
2,36493,7992
2,36506,11900
2,36759,600
2,36780,9000
2,36781,9000
2,37050,1440
2,37051,2310
2,37141,9120
2,37272,16200
2,37312,1489
2,37773,700
2,37775,1350
2,37835,36300
2,37930,200
2,38203,150
2,38204,100
2,38205,15
2,38530,8520
2,38531,5160
2,38994,3936
2,38995,11000
2,39127,240
2,39128,240
2,39161,1440
2,39171,7
2,39172,6
2,39173,7
2,39174,8
2,39175,8
2,39176,8
2,39177,8
2,39178,10
2,39179,6
2,39180,5
2,39181,5
2,39182,5
2,39183,16
2,39184,14
2,39185,13
2,39186,9
2,39187,3
2,39188,3
2,39189,10
2,39309,200
2,39310,200
2,39311,150
2,39320,27
2,39323,98
2,39324,57
2,39326,28
2,39327,6
2,39331,4
2,39333,1
2,39334,1
2,39335,10
2,39336,6
2,39337,8
2,39338,367
2,39424,2880
2,39586,432
2,39746,9504
2,40057,11818
2,40250,61
2,40269,6750
2,40350,1400
2,40363,19440
2,40398,6480
2,40400,2100
2,40474,30
2,40475,30
2,40476,30
2,40477,30
2,40479,15
2,40480,70
2,40481,24
2,40482,24
2,40483,74
2,40484,73
2,40485,74
2,40491,23
2,40492,56
2,40493,67
2,40495,30
2,40496,45
2,40497,24
2,40498,24
2,40499,75
2,40500,24
2,40501,24
2,40502,64
2,40503,6288
2,40508,16350
2,40523,160
2,40524,40
2,40525,20
2,40526,40
2,40527,40
2,40528,20
2,40529,40
2,40531,45
2,40532,45
2,40533,80
2,40539,1800
2,40586,30
2,40587,30
2,40588,30
2,40589,30
2,40653,5520
2,40654,96
2,40712,2671
2,40713,5670
2,40827,4500
2,40903,1250
2,41179,5000
2,41190,18000
2,41253,2400
2,41257,1920
2,41334,4080
2,41571,8832
2,41572,5736
2,41573,5760
2,41601,52
2,41602,52
2,41603,52
2,41604,52
2,41605,52
2,41606,52
2,41607,52
2,41608,52
2,41609,52
2,41610,52
2,42009,290
2,42102,2380
2,42106,1400
2,42107,8000
2,42108,4080
2,42272,5
2,42273,10
2,42274,2
2,42275,2
2,42276,2
2,42277,2
2,42279,2
2,42299,3
2,42303,6
2,42304,4
2,42345,3
2,42394,3
2,42395,4
2,42396,9
2,42397,3
2,42398,14
2,42399,6
2,42400,3
2,42401,5
2,42402,19
2,42403,36
2,42405,10
2,42407,39
2,42408,19
2,42410,22
2,42411,2
2,42412,17
2,42413,10
2,42414,13
2,42415,5
2,42416,5
2,42418,14
2,42419,20
2,42421,4
2,42422,4
2,42424,8
2,42425,25
2,42428,2
2,42429,4
2,42430,2
2,42431,3
2,42432,3
2,42433,3
2,42434,4
2,42435,2
2,42436,2
2,42437,2
2,42438,2
2,42439,3
2,42440,2
2,42441,6
2,42465,3
2,42466,6
2,42467,2
2,42470,9
2,42472,3
2,42474,7
2,42477,4
2,42484,5
2,42497,5
2,42500,2
2,42502,8
2,42506,2
2,42507,4
2,42508,15
2,42510,11
