sku_id,variant_id,mapper_variant_id,mapper_variant_name
27907,9272,9271,Nata de coco Strawberry Drink 
27908,9271,9271,Nata de coco Strawberry Drink 
27915,3486,1636,Kurkure Solid Masti Rs 20
27928,925,430,Haldiram's Moong Dal Rs 10 
27929,94,94,Maaza Tetrapack Rs 10
27931,1104,430,Haldiram's Moong Dal Rs 10 
27936,109,109,Real Mixed Fruit Juice Rs 20
27937,7269,430,Haldiram's Moong Dal Rs 10 
27938,3084,140,Cadbury Dairy Milk Rs 20
27939,654,430,Haldiram's Moong Dal Rs 10 
27941,1105,430,Haldiram's Moong Dal Rs 10 
27942,4176,430,Haldiram's Moong Dal Rs 10 
27944,2248,430,Haldiram's Moong Dal Rs 10 
27945,3953,126,Coke Regular Pet 250ml Rs 20
27946,4027,126,Coke Regular Pet 250ml Rs 20
27948,7347,922,Maaza 
27949,2242,126,Coke Regular Pet 250ml Rs 20
27950,2142,126,Coke Regular Pet 250ml Rs 20
27951,7268,430,Haldiram's Moong Dal Rs 10 
27952,2736,430,Haldiram's Moong Dal Rs 10 
27953,2177,290,Kurkure Masala Munch 
27954,2347,430,Haldiram's Moong Dal Rs 10 
27955,7591,766,Amul Rose Lassi Rs 20 
27956,6725,38,Amul Masti Buttermilk Rs 10
27957,783,690,Amul Lassi Rs 15
27959,2722,291,Lay's American style Cream & Onion Rs 10
27960,2126,291,Lay's American style Cream & Onion Rs 10
27961,2300,1494,Britannia Treat Croissant Vanilla Rs15
27964,6704,678,Britannia Bourbon-Rs 10
27965,1315,678,Britannia Bourbon-Rs 10
27968,4182,678,Britannia Bourbon-Rs 10
27969,1026,678,Britannia Bourbon-Rs 10
27972,2408,140,Cadbury Dairy Milk Rs 20
27978,9346,9346,Swashray Farali Chiwda Rs 20
27989,3162,434,Uncle Chips - Spicy Treat
27993,296,291,Lay's American style Cream & Onion Rs 10
27995,120,109,Real Mixed Fruit Juice Rs 20
27997,1310,109,Real Mixed Fruit Juice Rs 20
27998,4501,291,Lay's American style Cream & Onion Rs 10
28000,1172,430,Haldiram's Moong Dal Rs 10 
28006,6749,2033,Anmol Romanzo Choco Filled Cookies Rs 10
28049,2436,929,Sprite750ml
28050,7620,4335,Townbus Madras Mixture
28051,5883,4335,Townbus Madras Mixture
28052,5416,4335,Townbus Madras Mixture
28053,5884,4335,Townbus Madras Mixture
28054,9382,4993,Priyagold Butter Bite Biscuits Rs 20
28055,9381,4993,Priyagold Butter Bite Biscuits Rs 20
28057,4993,4993,Priyagold Butter Bite Biscuits Rs 20
28079,3962,1069, Sunfeast Dark Fantasy Choco Fill Cookies Rs 10
28081,4335,4335,Townbus Madras Mixture
28082,3962,1069, Sunfeast Dark Fantasy Choco Fill Cookies Rs 10
28083,2574,252,Thumps Up Can
28084,6478,1170,Haldirams NGP Salted Peanut 
28085,1292,935,Lays - American Style Cream and Onion 
28086,3778,1170,Haldirams NGP Salted Peanut 
28087,2394,61,Paper Boat Lychee Ras Rs 20
28088,897,896,Yoga Pulp Aloevera KiwiJuice Rs 30
28089,3535,318,Coke Zero
28090,4021,61,Paper Boat Lychee Ras Rs 20
28091,1241,935,Lays - American Style Cream and Onion 
28092,4166,61,Paper Boat Lychee Ras Rs 20
28093,9087,9083,Meow Crispy Himalayan Pink Salt Rs 30
28094,4448,401,Bingo - Potato Chips Masala
28095,1608,1608,Makino Nacho Chips Jalapeno 
28096,3775,1170,Haldirams NGP Salted Peanut 
28097,3984,691,Britannia Chocolate Shake Rs 30 
28103,6239,80,Cavin's Spiced ButterMilk
28107,9031,7214,The Theatre Project Popcorn Cheddar Cheese Rs 20
28108,9030,7214,The Theatre Project Popcorn Cheddar Cheese Rs 20
28114,2716,1383,Nestle Kitkat Rs 10
28115,6208,313,Paperboat Chikki
28120,7591,766,Amul Rose Lassi Rs 20 
28131,0,0,Unknown/Unmapped
28146,7075,6480,Tong Garden Onion & Garlic Coated peanut 20 gm Rs 10
28157,8800,769,Cadbury Dairy Milk Rs.10
28159,0,0,Unknown/Unmapped
28161,0,0,Unknown/Unmapped
28163,9154,1482,Parle Agro Appy Fizz 
28165,8507,1023,Britannia Chocolate Shake Rs 35
28176,6520,478,Kit Kat Rs 25
28177,0,0,Unknown/Unmapped
28182,1475,430,Haldiram's Moong Dal Rs 10 
28184,1104,430,Haldiram's Moong Dal Rs 10 
28198,1071,430,Haldiram's Moong Dal Rs 10 
28212,4504,2412,Nescafe Chilled Latte Rs 45
28215,1026,678,Britannia Bourbon-Rs 10
28220,1999,1301,Maggi Cuppa Noodles Masala 
28222,1141,318,Coke Zero
28229,7681,7088,Dates Bites Sachet Rs 40
28230,9399,5494,Farmley Roasted Makhana Cream And Onion Rs 30
28231,9398,5494,Farmley Roasted Makhana Cream And Onion Rs 30
28232,9397,5494,Farmley Roasted Makhana Cream And Onion Rs 30
28240,1815,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28241,8244,935,Lays - American Style Cream and Onion 
28242,3837,691,Britannia Chocolate Shake Rs 30 
28243,1530,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28244,7088,7088,Dates Bites Sachet Rs 40
28245,4212,4036,Snickers Kesar Pista Stick Rs 30
28246,8771,891,RiteBite Peanut Butter
28247,3859,2550,Max Protein Desi Masala Rs45
28248,5419,261,McVitie's Digestive Biscuits
28249,5420,261,McVitie's Digestive Biscuits
28250,2452,130,Choco Chips Cookies
28251,4214,130,Choco Chips Cookies
28252,6794,130,Choco Chips Cookies
28253,8271,1608,Makino Nacho Chips Jalapeno 
28254,7107,1170,Haldirams NGP Salted Peanut 
28255,8394,935,Lays - American Style Cream and Onion 
28256,1605,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28257,7945,3007,MTR Poha
28258,7708,5494,Farmley Roasted Makhana Cream And Onion Rs 30
28259,541,541,Too Yumm Karare Munchy Masala Rs 20
28260,8509,1743,Act 2 Popcorn Butter
28261,3033,252,Thumps Up Can
28262,3978,663,Britannia Veg Cake Chocolate Rs 20
28263,7757,1315, Britannia Treat Jim Jam Rs 10
28264,8155,1270,Haldiram's Khatta Meetha Rs 30
28265,61,61,Paper Boat Lychee Ras Rs 20
28266,1120,1120,Fanta Can 
28267,6743,663,Britannia Veg Cake Chocolate Rs 20
28268,230,61,Paper Boat Lychee Ras Rs 20
28269,8281,8279,Lotus Thandai Badam Milk 
28270,1956,663,Britannia Veg Cake Chocolate Rs 20
28271,8598,2905,MTR Poha Cup Rs 65
28272,6478,1170,Haldirams NGP Salted Peanut 
28273,6477,1170,Haldirams NGP Salted Peanut 
28274,5090,5090,Rewynd Khakhra Methi Thepla 40g Rs 20
28275,7424,1170,Haldirams NGP Salted Peanut 
28276,1480,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28277,1071,430,Haldiram's Moong Dal Rs 10 
28278,8244,935,Lays - American Style Cream and Onion 
28279,3837,691,Britannia Chocolate Shake Rs 30 
28280,1530,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28281,7088,7088,Dates Bites Sachet Rs 40
28282,4212,4036,Snickers Kesar Pista Stick Rs 30
28283,8771,891,RiteBite Peanut Butter
28284,3859,2550,Max Protein Desi Masala Rs45
28285,3033,252,Thumps Up Can
28286,3978,663,Britannia Veg Cake Chocolate Rs 20
28287,7757,1315, Britannia Treat Jim Jam Rs 10
28288,8155,1270,Haldiram's Khatta Meetha Rs 30
28289,61,61,Paper Boat Lychee Ras Rs 20
28290,1120,1120,Fanta Can 
28291,6743,663,Britannia Veg Cake Chocolate Rs 20
28292,230,61,Paper Boat Lychee Ras Rs 20
28293,8281,8279,Lotus Thandai Badam Milk 
28294,1956,663,Britannia Veg Cake Chocolate Rs 20
28295,4214,130,Choco Chips Cookies
28296,5090,5090,Rewynd Khakhra Methi Thepla 40g Rs 20
28297,6477,1170,Haldirams NGP Salted Peanut 
28298,6478,1170,Haldirams NGP Salted Peanut 
28299,5420,261,McVitie's Digestive Biscuits
28300,2452,130,Choco Chips Cookies
28301,8598,2905,MTR Poha Cup Rs 65
28302,8509,1743,Act 2 Popcorn Butter
28303,4341,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28304,7708,5494,Farmley Roasted Makhana Cream And Onion Rs 30
28305,7945,3007,MTR Poha
28306,1605,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28307,8394,935,Lays - American Style Cream and Onion 
28308,7107,1170,Haldirams NGP Salted Peanut 
28309,8271,1608,Makino Nacho Chips Jalapeno 
28310,6794,130,Choco Chips Cookies
28311,5419,261,McVitie's Digestive Biscuits
28312,7424,1170,Haldirams NGP Salted Peanut 
28313,7183,1170,Haldirams NGP Salted Peanut 
28314,1839,769,Cadbury Dairy Milk Rs.10
28315,4166,61,Paper Boat Lychee Ras Rs 20
28316,8131,1170,Haldirams NGP Salted Peanut 
28317,512,61,Paper Boat Lychee Ras Rs 20
28318,3775,1170,Haldirams NGP Salted Peanut 
28319,1608,1608,Makino Nacho Chips Jalapeno 
28320,1609,1608,Makino Nacho Chips Jalapeno 
28321,474,474,Snickers Almond Rs 25
28322,1606,1606,BRB Popped Potato Chips Pasta Cheese 
28323,4021,61,Paper Boat Lychee Ras Rs 20
28328,1624,1606,BRB Popped Potato Chips Pasta Cheese 
28329,1622,1606,BRB Popped Potato Chips Pasta Cheese 
28330,1981,474,Snickers Almond Rs 25
28331,8127,2016,Haldirams NGP Punjabi Tadka Rs 35
28333,7430,1170,Haldirams NGP Salted Peanut 
28334,2184,769,Cadbury Dairy Milk Rs.10
28335,2436,929,Sprite750ml
28336,1799,474,Snickers Almond Rs 25
28337,123,82,Paper Boat Alphonso Aam Rs 25
28338,3633,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28339,3718,130,Choco Chips Cookies
28340,2394,61,Paper Boat Lychee Ras Rs 20
28341,848,318,Coke Zero
28342,4962,4851,Kerala Banana Chips Desi Masala Rs 20
28343,4409,1623,Cadbury Dairy Milk Chocolate Rs 50
28344,7700,401,Bingo - Potato Chips Masala
28345,1170,430,Haldiram's Moong Dal Rs 10 
28346,5996,130,Choco Chips Cookies
28347,8129,2016,Haldirams NGP Punjabi Tadka Rs 35
28348,8128,2016,Haldirams NGP Punjabi Tadka Rs 35
28349,1298,430,Haldiram's Moong Dal Rs 10 
28350,9412,9409,Bhikharam Chandmal Moong Dal Rs 20
28351,9411,9409,Bhikharam Chandmal Moong Dal Rs 20
28352,9410,9409,Bhikharam Chandmal Moong Dal Rs 20
28353,9409,9409,Bhikharam Chandmal Moong Dal Rs 20
28354,5287,678,Britannia Bourbon-Rs 10
28385,1783,1767,Little hearts 75gm
28386,7787,7786,Taali Sriracha Spice Rs 40
28387,3724,3542,Taali Masala Mania Protien Puffs Rs 20
28388,2221,693,Snickers
28389,2517,575,Frooti Rs 10
28390,2623,94,Maaza Tetrapack Rs 10
28395,3135,2553,Bauli Moonfills Vanilla Rs20
28396,3133,2553,Bauli Moonfills Vanilla Rs20
28397,7724,5367,Almond Brittle Coffee Rs 40
28398,7151,4638,Paper Boat Dry Fruit Chikki Rs 30
28399,694,694,Frooti 
28400,2611,2584,Paper Boat Chocolate Milkshake Rs35
28401,3535,318,Coke Zero
28402,8130,2016,Haldirams NGP Punjabi Tadka Rs 35
28403,4407,46,Paper Boat Coconut Water
28404,7513,7513,Maruti Potato Wafers Rs 10
28405,7215,7214,The Theatre Project Popcorn Cheddar Cheese Rs 20
28406,193,193,Monster Energy
28407,7075,6480,Tong Garden Onion & Garlic Coated peanut 20 gm Rs 10
28408,7723,1623,Cadbury Dairy Milk Chocolate Rs 50
28409,4283,4283,Redbull Energy Drink 
28410,6482,6480,Tong Garden Onion & Garlic Coated peanut 20 gm Rs 10
28411,4773,4773,Twix Chocolate Rs 30
28412,3316,130,Choco Chips Cookies
28414,2421,935,Lays - American Style Cream and Onion 
28418,7066,130,Choco Chips Cookies
28423,1607,1606,BRB Popped Potato Chips Pasta Cheese 
28427,0,0,Unknown/Unmapped
28428,1638,1059,Cavin's Spiced Butter Milk Rs 15
28429,3619,73,Cavin's Lassi
28433,1171,430,Haldiram's Moong Dal Rs 10 
28436,1490,125,Fanta Pet 250ml Rs 20
28437,1450,542,Limca 250ml Pet Rs 20
28438,4330,4330,Sting
28439,8422,8422,Pran Litchi Fruit Drink Rs 10
28440,983,95,Parle Appy Rs 10
28441,3936,430,Haldiram's Moong Dal Rs 10 
28442,3949,140,Cadbury Dairy Milk Rs 20
28443,2155,678,Britannia Bourbon-Rs 10
28444,2302,678,Britannia Bourbon-Rs 10
28445,794,678,Britannia Bourbon-Rs 10
28446,6520,478,Kit Kat Rs 25
28450,9413,9413,Bindu Fizz Jeera Masala Rs 20
28452,9154,1482,Parle Agro Appy Fizz 
28453,6866,6866,Bindu Fizz Jeera Masala 
28454,9406,395,Too Yum- Multigrain Chips
28455,1485,395,Too Yum- Multigrain Chips
28456,7179,395,Too Yum- Multigrain Chips
28457,7012,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28458,1530,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28459,3633,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28460,9415,678,Britannia Bourbon-Rs 10
28463,3818,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28464,1593,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
28472,9419,9418,Mom Gheev Rava Upma With Bhujia Rs 65
28473,9418,9418,Mom Gheev Rava Upma With Bhujia Rs 65
28480,3064,663,Britannia Veg Cake Chocolate Rs 20
28481,2336,586,Coke Regular Pop Can Rs 25
28496,0,0,Unknown/Unmapped
28508,9429,7072,Priyagold Cashew Cookies Rs 10
28509,7227,7072,Priyagold Cashew Cookies Rs 10
28510,9428,4993,Priyagold Butter Bite Biscuits Rs 20
28513,3777,1170,Haldirams NGP Salted Peanut 
28520,0,0,Unknown/Unmapped
28522,0,0,Unknown/Unmapped
28527,9151,9151,Cookieman Choe Chip Cookies CRED Coins
28529,9152,9152,Jawai Potato Crispies CRED Coins
28530,9151,9151,Cookieman Choe Chip Cookies CRED Coins
28532,9433,9191,Nuttoz Roasted Peanuts Rs 20
28533,9432,9191,Nuttoz Roasted Peanuts Rs 20
28534,0,0,Unknown/Unmapped
28622,3535,318,Coke Zero
28623,3096,3096,Alo Frut Coconut Water Rs 50
28626,1450,542,Limca 250ml Pet Rs 20
28632,9490,9191,Nuttoz Roasted Peanuts Rs 20
28635,5316,4063,BiskFarm Masala Chatpata Bhel  Rs 10
28636,4063,4063,BiskFarm Masala Chatpata Bhel  Rs 10
28653,7736,7072,Priyagold Cashew Cookies Rs 10
28654,7589,7072,Priyagold Cashew Cookies Rs 10
28712,3940,95,Parle Appy Rs 10
28715,399,278,Unibic Chocolate Cookies
28723,2309,130,Choco Chips Cookies
28724,2310,130,Choco Chips Cookies
28725,2311,130,Choco Chips Cookies
28726,2877,130,Choco Chips Cookies
28727,4360,130,Choco Chips Cookies
28731,562,73,Cavin's Lassi
28741,1054,1054,Cavins Strawberry Milk Shake Rs 35
28744,1058,80,Cavin's Spiced ButterMilk
28745,1059,1059,Cavin's Spiced Butter Milk Rs 15
28746,1119,1054,Cavins Strawberry Milk Shake Rs 35
28748,3783,73,Cavin's Lassi
28757,2877,130,Choco Chips Cookies
28764,2987,2987,Wingreen Naan chips Tez tandoori Rs 20
28774,3106,1883,Parle Cakes Vanilla (Contains Egg) Rs 30
28775,0,0,Unknown/Unmapped
28784,3837,691,Britannia Chocolate Shake Rs 30 
28791,61,61,Paper Boat Lychee Ras Rs 20
28793,122,82,Paper Boat Alphonso Aam Rs 25
28794,123,82,Paper Boat Alphonso Aam Rs 25
28795,193,193,Monster Energy
