sku_id,variant_id,mapper_variant_id,mapper_variant_name
29016,5090,5090,Rewynd Khakhra Methi Thepla 40g Rs 20
29018,5188,130,Choco Chips Cookies
29019,5260,2016,Haldirams NGP Punjabi Tadka Rs 35
29024,5345,1023,Britannia Chocolate Shake Rs 35
29026,5358,1104,Haldirams NGP Lite Chiwda Rs 10
29029,5361,954,Parle G Biscuits Rs 5
29030,5362,5362,Budhani Potato Mixture Rs 10
29033,5419,261,McVitie's Digestive Biscuits
29034,5420,261,McVitie's Digestive Biscuits
29036,5608,5608,Sachetmaker Honey 
29037,5609,5609,Sachetmaker Mixed Fruit Jam
29038,5610,5610,Bread 
29039,5611,38,Amul Masti Buttermilk Rs 10
29040,5612,5612,Cheese Slice
29041,0,0,Unknown/Unmapped
29045,5936,2016,Haldirams NGP Punjabi Tadka Rs 35
29047,5989,5367,Almond Brittle Coffee Rs 40
29048,5996,130,Choco Chips Cookies
29051,6239,80,Cavin's Spiced ButterMilk
29055,6285,5351,Puzzles Aloo Bhujia Rs 10
29058,6477,1170,Haldirams NGP Salted Peanut 
29059,6478,1170,Haldirams NGP Salted Peanut 
29060,6482,6480,Tong Garden Onion & Garlic Coated peanut 20 gm Rs 10
29061,6520,478,Kit Kat Rs 25
29062,6561,17,McVities Digestive Rs 10
29064,6590,1606,BRB Popped Potato Chips Pasta Cheese 
29065,6652,313,Paperboat Chikki
29067,6794,130,Choco Chips Cookies
29068,6811,1170,Haldirams NGP Salted Peanut 
29069,6815,130,Choco Chips Cookies
29071,6836,4680,Mcvities Bourbon Delight Rs 30
29073,6838,4680,Mcvities Bourbon Delight Rs 30
29077,7012,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
29078,7075,6480,Tong Garden Onion & Garlic Coated peanut 20 gm Rs 10
29079,7107,1170,Haldirams NGP Salted Peanut 
29081,7151,4638,Paper Boat Dry Fruit Chikki Rs 30
29082,7183,1170,Haldirams NGP Salted Peanut 
29083,7215,7214,The Theatre Project Popcorn Cheddar Cheese Rs 20
29084,7424,1170,Haldirams NGP Salted Peanut 
29085,7430,1170,Haldirams NGP Salted Peanut 
29087,7574,7088,Dates Bites Sachet Rs 40
29088,7575,7088,Dates Bites Sachet Rs 40
29090,7678,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
29091,7702,61,Paper Boat Lychee Ras Rs 20
29092,7704,252,Thumps Up Can
29094,7787,7786,Taali Sriracha Spice Rs 40
29095,7789,7786,Taali Sriracha Spice Rs 40
29099,8035,693,Snickers
29100,8127,2016,Haldirams NGP Punjabi Tadka Rs 35
29101,8128,2016,Haldirams NGP Punjabi Tadka Rs 35
29102,8129,2016,Haldirams NGP Punjabi Tadka Rs 35
29103,8130,2016,Haldirams NGP Punjabi Tadka Rs 35
29104,8131,1170,Haldirams NGP Salted Peanut 
29105,8155,1270,Haldiram's Khatta Meetha Rs 30
